Time,Input,Angle
0.0,0.0,-0.0
0.009999999776482582,0.0,-0.0
0.019999999552965164,0.0,-0.0
0.029999999329447746,0.0,-0.0
0.03999999910593033,0.0,-0.0
0.05000000074505806,0.0,-0.0
0.05999999865889549,0.0,-0.0
0.07000000029802322,0.0,-0.0
0.07999999821186066,0.0,-0.0
0.09000000357627869,0.0,-0.0
0.10000000149011612,0.0,-0.0
0.10999999940395355,-0.03905418515205383,-0.015707964077591896
0.11999999731779099,-0.03905418515205383,-0.015707964077591896
0.12999999523162842,-0.03905418515205383,-0.015707964077591896
0.14000000059604645,-0.03905418515205383,-0.015707964077591896
0.15000000596046448,-0.03905418515205383,-0.03141592815518379
0.1599999964237213,-0.03905418515205383,-0.04712389037013054
0.17000000178813934,-0.03905418515205383,-0.06283185631036758
0.18000000715255737,-0.03905418515205383,-0.07853981852531433
0.1899999976158142,-0.03905418515205383,-0.07853981852531433
0.20000000298023224,-0.03905418515205383,-0.10995574295520782
0.20999999344348907,-0.021215170621871948,-0.12566371262073517
0.2199999988079071,-0.021215170621871948,-0.14137166738510132
0.23000000417232513,-0.021215170621871948,-0.15707963705062866
0.23999999463558197,-0.021215170621871948,-0.1727875918149948
0.25,-0.021215170621871948,-0.18849556148052216
0.25999999046325684,-0.021215170621871948,-0.2042035162448883
0.27000001072883606,-0.021215170621871948,-0.21991148591041565
0.2800000011920929,-0.021215170621871948,-0.235619455575943
0.28999999165534973,-0.021215170621871948,-0.235619455575943
0.30000001192092896,-0.021215170621871948,-0.25132742524147034
0.3100000023841858,0.01206741388887167,-0.2670353651046753
0.3199999928474426,0.01206741388887167,-0.28274333477020264
0.33000001311302185,0.01206741388887167,-0.28274333477020264
0.3400000035762787,0.01206741388887167,-0.29845130443573
0.3499999940395355,0.01206741388887167,-0.29845130443573
0.36000001430511475,0.01206741388887167,-0.3141592741012573
0.3700000047683716,0.01206741388887167,-0.3141592741012573
0.3799999952316284,0.01206741388887167,-0.3298672139644623
0.38999998569488525,0.01206741388887167,-0.3298672139644623
0.4000000059604645,0.01206741388887167,-0.3298672139644623
0.4099999964237213,-0.0031312645878642797,-0.3455751836299896
0.41999998688697815,-0.0031312645878642797,-0.3455751836299896
0.4300000071525574,-0.0031312645878642797,-0.3455751836299896
0.4399999976158142,-0.0031312645878642797,-0.3455751836299896
0.44999998807907104,-0.0031312645878642797,-0.3455751836299896
0.46000000834465027,-0.0031312645878642797,-0.3455751836299896
0.4699999988079071,-0.0031312645878642797,-0.3455751836299896
0.47999998927116394,-0.0031312645878642797,-0.3455751836299896
0.49000000953674316,-0.0031312645878642797,-0.3455751836299896
0.5,-0.0031312645878642797,-0.3298672139644623
0.5099999904632568,-0.0784391462802887,-0.3298672139644623
0.5199999809265137,-0.0784391462802887,-0.3455751836299896
0.5299999713897705,-0.0784391462802887,-0.36128315329551697
0.5400000214576721,-0.0784391462802887,-0.3769911229610443
0.550000011920929,-0.0784391462802887,-0.39269909262657166
0.5600000023841858,-0.0784391462802887,-0.42411500215530396
0.5699999928474426,-0.0784391462802887,-0.45553094148635864
0.5799999833106995,-0.0784391462802887,-0.48694685101509094
0.5899999737739563,-0.0784391462802887,-0.5340707302093506
0.6000000238418579,-0.0784391462802887,-0.5811946392059326
0.6100000143051147,-0.016532493755221367,-0.6283185482025146
0.6200000047683716,-0.016532493755221367,-0.6597344279289246
0.6299999952316284,-0.016532493755221367,-0.7068583369255066
0.6399999856948853,-0.016532493755221367,-0.7539822459220886
0.6499999761581421,-0.016532493755221367,-0.8011061549186707
0.6600000262260437,-0.016532493755221367,-0.8482300043106079
0.6700000166893005,-0.016532493755221367,-0.8953539133071899
0.6800000071525574,-0.016532493755221367,-0.9267698526382446
0.6899999976158142,-0.016532493755221367,-0.9738937020301819
0.699999988079071,-0.016532493755221367,-1.0053097009658813
0.7099999785423279,-0.08226794749498367,-1.0524334907531738
0.7200000286102295,-0.08226794749498367,-1.0995573997497559
0.7300000190734863,-0.08226794749498367,-1.146681308746338
0.7400000095367432,-0.08226794749498367,-1.2095131874084473
0.75,-0.08226794749498367,-1.2723450660705566
0.7599999904632568,-0.08226794749498367,-1.3351768255233765
0.7699999809265137,-0.08226794749498367,-1.3980087041854858
0.7799999713897705,-0.08226794749498367,-1.4608405828475952
0.7900000214576721,-0.08226794749498367,-1.539380431175232
0.800000011920929,-0.08226794749498367,-1.617920160293579
0.8100000023841858,0.053742825984954834,-1.6964600086212158
0.8199999928474426,0.053742825984954834,-1.7749998569488525
0.8299999833106995,0.053742825984954834,-1.837831735610962
0.8399999737739563,0.053742825984954834,-1.9006636142730713
0.8500000238418579,0.053742825984954834,-1.9477874040603638
0.8600000143051147,0.053742825984954834,-1.9949113130569458
0.8700000047683716,0.053742825984954834,-2.0420353412628174
0.8799999952316284,0.053742825984954834,-2.073451042175293
0.8899999856948853,0.053742825984954834,-2.1048669815063477
0.8999999761581421,0.053742825984954834,-2.120574951171875
0.9100000262260437,0.06119575724005699,-2.1362829208374023
0.9200000166893005,0.06119575724005699,-2.1519908905029297
0.9300000071525574,0.06119575724005699,-2.1519908905029297
0.9399999976158142,0.06119575724005699,-2.1519908905029297
0.949999988079071,0.06119575724005699,-2.1519908905029297
0.9599999785423279,0.06119575724005699,-2.1519908905029297
0.9700000286102295,0.06119575724005699,-2.1362829208374023
0.9800000190734863,0.06119575724005699,-2.1048669815063477
0.9900000095367432,0.06119575724005699,-2.0891590118408203
1.0,0.06119575724005699,-2.0577430725097656
1.0099999904632568,-0.03774520754814148,-2.02632737159729
