Input,Angle,Speed
-0.10000000149011612,-0.0,-2.9217593669891357
-0.10000000149011612,-0.0,-3.402137517929077
-0.10000000149011612,-0.015707964077591896,-3.8768651485443115
-0.10000000149011612,-0.03141592815518379,-4.345942497253418
-0.10000000149011612,-0.06283185631036758,-4.8093695640563965
-0.10000000149011612,-0.09424778074026108,-5.267146110534668
-0.10000000149011612,-0.14137166738510132,-5.719272613525391
-0.10000000149011612,-0.18849556148052216,-6.165748596191406
-0.10000000149011612,-0.235619455575943,-6.606574058532715
-0.10000000149011612,-0.29845130443573,-7.041749477386475
-0.10000000149011612,-0.36128315329551697,-7.4712748527526855
-0.10000000149011612,-0.4398229718208313,-7.8951497077941895
-0.10000000149011612,-0.5183627605438232,-8.313373565673828
-0.10000000149011612,-0.59690260887146,-8.725948333740234
-0.10000000149011612,-0.6754423975944519,-9.132871627807617
-0.10000000149011612,-0.769690215587616,-9.53414535522461
-0.10000000149011612,-0.8796459436416626,-9.929768562316895
-0.10000000149011612,-0.9738937020301819,-10.319741249084473
-0.10000000149011612,-1.0838494300842285,-10.70406436920166
-0.10000000149011612,-1.19380521774292,-11.082736015319824
-0.10000000149011612,-1.3037610054016113,-11.455758094787598
-0.10000000149011612,-1.4294246435165405,-11.823129653930664
-0.10000000149011612,-1.5550884008407593,-12.18485164642334
-0.10000000149011612,-1.6807520389556885,-12.540922164916992
-0.10000000149011612,-1.8064157962799072,-12.891343116760254
-0.10000000149011612,-1.9477874040603638,-13.236113548278809
-0.10000000149011612,-2.0891590118408203,-13.575233459472656
-0.10000000149011612,-2.2305307388305664,-13.908702850341797
-0.10000000149011612,-2.3719024658203125,-14.236522674560547
-0.10000000149011612,-2.528982162475586,-14.558691024780273
-0.10000000149011612,-2.670353651046753,-14.87520980834961
-0.10000000149011612,-2.8274333477020264,-15.186079025268555
-0.10000000149011612,-2.9845130443573,-15.491296768188477
-0.10000000149011612,-3.1415927410125732,-15.790864944458008
-0.10000000149011612,-3.314380168914795,-16.084781646728516
-0.10000000149011612,-3.4714598655700684,-16.373048782348633
-0.10000000149011612,-3.644247531890869,-16.65566635131836
-0.10000000149011612,-3.817034959793091,-16.932632446289062
-0.10000000149011612,-3.9898226261138916,-17.203948974609375
-0.10000000149011612,-4.162610054016113,-17.469614028930664
-0.10000000149011612,-4.335397720336914,-17.729629516601562
-0.10000000149011612,-4.523893356323242,-17.98399543762207
-0.10000000149011612,-4.696681022644043,-18.232709884643555
-0.10000000149011612,-4.885176658630371,-18.47577476501465
-0.10000000149011612,-5.073672294616699,-18.71319007873535
-0.10000000149011612,-5.262167930603027,-18.94495391845703
-0.10000000149011612,-5.450663089752197,-19.171066284179688
-0.10000000149011612,-5.639158725738525,-19.391530990600586
-0.10000000149011612,-5.843362331390381,-19.60634422302246
-0.10000000149011612,-6.031857967376709,-19.815505981445312
-0.10000000149011612,-6.2360615730285645,-20.019018173217773
-0.10000000149011612,-6.440264701843262,-20.185651779174805
-0.10000000149011612,-6.644468307495117,-20.3475284576416
-0.10000000149011612,-6.848671913146973,-20.503807067871094
-0.10000000149011612,-7.052875518798828,-20.655895233154297
-0.10000000149011612,-7.257079124450684,-20.804948806762695
-0.10000000149011612,-7.461282730102539,-20.949752807617188
-0.10000000149011612,-7.681193828582764,-21.08919906616211
-0.10000000149011612,-7.885397434234619,-21.224414825439453
-0.10000000149011612,-8.10530948638916,-21.356624603271484
-0.10000000149011612,-8.3095121383667,-21.484663009643555
-0.10000000149011612,-8.529423713684082,-21.609586715698242
-0.10000000149011612,-8.749335289001465,-21.73005485534668
-0.10000000149011612,-8.969246864318848,-21.846939086914062
-0.10000000149011612,-9.18915843963623,-21.96119499206543
-0.10000000149011612,-9.409070014953613,-22.073875427246094
-0.10000000149011612,-9.628981590270996,-22.183618545532227
-0.10000000149011612,-9.848893165588379,-22.288785934448242
-0.10000000149011612,-10.068804740905762,-22.392427444458008
-0.10000000149011612,-10.288716316223145,-22.49305534362793
-0.10000000149011612,-10.508627891540527,-22.59137725830078
-0.10000000149011612,-10.744246482849121,-22.688182830810547
-0.10000000149011612,-10.964158058166504,-22.781835556030273
-0.10000000149011612,-11.199777603149414,-22.87289810180664
-0.10000000149011612,-11.419689178466797,-22.961994171142578
-0.10000000149011612,-11.655308723449707,-23.049819946289062
-0.10000000149011612,-11.890928268432617,-23.134639739990234
-0.10000000149011612,-12.11083984375,-23.216909408569336
-0.10000000149011612,-12.34645938873291,-23.295005798339844
-0.10000000149011612,-12.58207893371582,-23.37198257446289
-0.10000000149011612,-12.81769847869873,-23.44595718383789
-0.10000000149011612,-13.053317070007324,-23.51972770690918
-0.10000000149011612,-13.288936614990234,-23.591522216796875
-0.10000000149011612,-13.524556159973145,-23.65962791442871
-0.10000000149011612,-13.760175704956055,-23.726993560791016
-0.10000000149011612,-13.995795249938965,-23.7916316986084
-0.10000000149011612,-14.231414794921875,-23.85408592224121
-0.10000000149011612,-14.467034339904785,-23.91495132446289
-0.10000000149011612,-14.718361854553223,-23.97235870361328
-0.10000000149011612,-14.953981399536133,-24.029104232788086
-0.10000000149011612,-15.189600944519043,-24.08553123474121
-0.10000000149011612,-15.440927505493164,-24.1398983001709
-0.10000000149011612,-15.676547050476074,-24.19263458251953
-0.10000000149011612,-15.912166595458984,-24.2463321685791
-0.10000000149011612,-16.163494110107422,-24.296876907348633
-0.10000000149011612,-16.399112701416016,-24.346939086914062
-0.10000000149011612,-16.650440216064453,-24.396730422973633
-0.10000000149011612,-16.88606071472168,-24.44437026977539
-0.10000000149011612,-17.137388229370117,-24.492633819580078
-0.10000000149011612,-17.37300682067871,-24.539344787597656
-0.10000000149011612,-17.62433433532715,-24.584854125976562
-0.10000000149011612,-17.859954833984375,-24.629541397094727
-0.10000000149011612,-18.111282348632812,-24.671314239501953
-0.10000000149011612,-18.36260986328125,-24.712730407714844
-0.10000000149011612,-18.613937377929688,-24.75387954711914
-0.10000000149011612,-18.84955596923828,-24.79275131225586
-0.10000000149011612,-19.10088348388672,-24.831985473632812
-0.10000000149011612,-19.352210998535156,-24.869625091552734
-0.10000000149011612,-19.603538513183594,-24.90373420715332
-0.10000000149011612,-19.85486602783203,-24.939144134521484
-0.10000000149011612,-20.10619354248047,-24.971460342407227
-0.10000000149011612,-20.357521057128906,-25.005558013916016
-0.10000000149011612,-20.608848571777344,-25.037090301513672
-0.10000000149011612,-20.86017608642578,-25.0684814453125
-0.10000000149011612,-21.111501693725586,-25.09754753112793
-0.10000000149011612,-21.362829208374023,-25.12674903869629
-0.10000000149011612,-21.61415672302246,-25.153940200805664
-0.10000000149011612,-21.8654842376709,-25.181615829467773
-0.10000000149011612,-22.116811752319336,-25.207670211791992
-0.10000000149011612,-22.368139266967773,-25.234642028808594
-0.10000000149011612,-22.61946678161621,-25.26046371459961
-0.10000000149011612,-22.87079429626465,-25.287723541259766
-0.10000000149011612,-23.122121810913086,-25.31190299987793
-0.10000000149011612,-23.373449325561523,-25.337749481201172
-0.10000000149011612,-23.62477684020996,-25.360776901245117
-0.10000000149011612,-23.8761043548584,-25.383630752563477
-0.10000000149011612,-24.127431869506836,-25.406475067138672
-0.10000000149011612,-24.378759384155273,-25.42699432373047
-0.10000000149011612,-24.645793914794922,-25.450000762939453
-0.10000000149011612,-24.89712142944336,-25.471084594726562
-0.10000000149011612,-25.148448944091797,-25.49260139465332
-0.10000000149011612,-25.399776458740234,-25.51229476928711
-0.10000000149011612,-25.651103973388672,-25.530410766601562
-0.10000000149011612,-25.91813850402832,-25.549331665039062
-0.10000000149011612,-26.169466018676758,-25.56683349609375
-0.10000000149011612,-26.420793533325195,-25.58319091796875
-0.10000000149011612,-26.687829971313477,-25.59868621826172
-0.10000000149011612,-26.939157485961914,-25.615741729736328
-0.10000000149011612,-27.206192016601562,-25.63217544555664
-0.10000000149011612,-27.45751953125,-25.647937774658203
-0.10000000149011612,-27.708847045898438,-25.662992477416992
-0.10000000149011612,-27.97588348388672,-25.677675247192383
-0.10000000149011612,-28.227209091186523,-25.69196891784668
-0.10000000149011612,-28.47853660583496,-25.70585823059082
-0.10000000149011612,-28.745573043823242,-25.721843719482422
-0.10000000149011612,-28.99690055847168,-25.735315322875977
-0.10000000149011612,-29.248228073120117,-25.74879264831543
-0.10000000149011612,-29.515262603759766,-25.762304306030273
-0.10000000149011612,-29.766590118408203,-25.775890350341797
-0.10000000149011612,-30.01791763305664,-25.7874698638916
-0.10000000149011612,-30.284954071044922,-25.801721572875977
-0.10000000149011612,-30.536279678344727,-25.8140869140625
-0.10000000149011612,-30.803316116333008,-25.829273223876953
-0.10000000149011612,-31.054643630981445,-25.84274673461914
-0.10000000149011612,-31.305971145629883,-25.85460662841797
-0.10000000149011612,-31.57300567626953,-25.864946365356445
-0.10000000149011612,-31.82433319091797,-25.878488540649414
-0.10000000149011612,-32.09136962890625,-25.89072036743164
-0.10000000149011612,-32.35840606689453,-25.901762008666992
-0.10000000149011612,-32.60973358154297,-25.911727905273438
-0.10000000149011612,-32.876766204833984,-25.92286491394043
-0.10000000149011612,-33.12809371948242,-25.93280029296875
-0.10000000149011612,-33.3951301574707,-25.941659927368164
-0.10000000149011612,-33.64645767211914,-25.951702117919922
-0.10000000149011612,-33.91349411010742,-25.9605655670166
-0.10000000149011612,-34.16482162475586,-25.96839141845703
