x1,x2,x3,x4,x5,x6,x7,u,y_meas,y_recon,innovation
-0.00016012614682566387,-0.00010251012279085587,-3.092292446053771e-05,3.5820611884009084e-05,5.946427808175118e-05,-1.0402552599287907e-05,-1.6977628997105588e-05,0.0099999997764825,-0.0,1.982754237382059e-08,-0.00021346284645742866
-4.904121599994988e-07,-0.0006306733772837472,0.00027970356344979687,0.0009735622484832614,0.0008605774601876842,0.00999999957160829,-0.0002441824077275276,0.0099999997764825,-0.0,3.904957036472798e-07,-0.0006333094104940951
-2.2073323099636137e-06,1.9705385947624693e-07,-0.00204008177513025,0.002082895674363836,0.0029893127450275276,0.009999998877541752,0.009999997267066378,0.0099999997764825,-0.0,1.7134050121714534e-06,-0.0011535716352559992
-2.4555898059039663e-06,-2.9834306351725156e-06,5.117893145107777e-07,-0.0027887493928414027,0.006971587738631679,0.009999997720027255,0.009999992674889779,0.0099999997764825,-0.0,3.9196584820087345e-06,-0.001338539574457795
-5.040473301457269e-06,-7.157706131270571e-06,-1.02772958700773e-05,4.415658424776772e-06,0.005236157413927407,0.00999999251415129,0.009999972792130954,0.0099999997764825,-0.0,1.3842196751089942e-05,-0.0024320841159105786
-0.0006116243580307022,-0.00041103954249819863,-0.00013186400569753983,0.00013264038446630623,0.00024720145132674936,0.009999596254692784,0.009998674378825853,0.0099999997764825,-0.0,0.0007691232808534589,-0.0016023677713654632
0.00016231977430153106,-0.0011742244716574247,-0.0006177163662562438,1.4158454618546051e-05,0.00043226215424223253,0.009999533018270064,0.009998010335939488,0.0099999997764825,-0.0,0.0008896535871489346,-0.0018192067772492652
9.653807456944802e-05,-0.0003140209081014342,-0.00175826248063492,-0.0006030674508275708,0.00038274687379037144,0.009999354626892507,0.009997317047636099,0.0099999997764825,-0.0,0.0012296723050417445,-0.0023209590742901175
0.00021338547632218543,-0.0006497856779980764,-0.000753969672259385,-0.002310971575698415,-0.0003591560132015009,0.00999903547021397,0.009995953648686181,0.0099999997764825,-0.0,0.0018379934365347875,-0.0030868509225980513
0.0006724778713439342,-0.0007652285049658141,-0.0013776241718985369,-0.0011352104357790097,-0.0026145480008092094,0.009998679944170499,0.009994262310678476,0.0099999997764825,-0.0,0.0025156355464548397,-0.003916922612716638
0.0009317521510322807,-0.0006792597497482262,-0.0018611729219554845,-0.002063420231907035,-0.0013494301724517978,0.009998053983519268,0.009991572489008766,0.0674651190638542,-0.0,0.0037087332230328536,-0.005670219857111199
0.0052237669074985185,0.002147445444880996,0.0003379116071300142,-0.0010863446739987218,-0.0016197780770110036,0.06746711680894622,0.01000540951498421,0.0674651190638542,0.0157079640775918,0.011900208713115834,0.005546151683514494
0.009867540389324551,0.0034679320598568087,0.0007663241359028594,-0.0007438945150624531,-0.001858871334568028,0.06746217003201305,0.06745615179759536,0.0674651190638542,0.0157079640775918,0.021328897327822657,-0.00795965296347943
0.020769245406622536,0.009385668017804563,0.003060592749041518,0.00046744595459875495,-0.0009633294398510659,0.06746425475967771,0.06745893746788621,0.0674651190638542,0.0314159281551837,0.033063314940287025,-0.0022925356166020802
0.03262846335401148,0.020395848856736155,0.009071622273803379,0.002808985697748659,0.000298160461791105,0.06746441310203272,0.06746160272366909,0.0674651190638542,0.0471238903701305,0.04846947240842478,-0.0018428320606462892
0.0474114363580878,0.031711804637489314,0.019628142102626856,0.0084620011419564,0.002348678401395996,0.06746331612087346,0.06745761255926819,0.0674651190638542,0.0628318563103675,0.06626831366130116,-0.004637065758546499
0.06424850707177204,0.04564993981009676,0.030225400822324458,0.018454344882153195,0.007585484700883505,0.06746154704827187,0.0674498027137903,0.0674651190638542,0.0785398185253143,0.08534817538223977,-0.009108480845418182
0.08276390128296779,0.0620041513191589,0.04374354600934665,0.028708615120403028,0.01733092855110537,0.0674604230965649,0.0674437442941006,-0.0679394602775573,0.094247780740261,0.1031984194922867,-0.011886181966171167
0.10104072301010293,0.08088557277369714,0.06041670615401275,0.04247299306515148,0.02776021250644901,-0.06794347216554804,0.06744518744308117,-0.0679394602775573,0.1099557429552078,0.11760250834056793,-0.010095541366246102
0.11767003363591937,0.10109954502511112,0.08093537930111759,0.0604563228860906,0.042502721822878876,-0.06793933254945701,-0.06794298648796068,-0.0679394602775573,0.1256637126207351,0.12542025945896304,0.00032014073196756643
0.12361390741697825,0.11609777475354956,0.09976784992423274,0.07987484338055564,0.059666683014041294,-0.0679429184321867,-0.06795249341613374,-0.0679394602775573,0.1256637126207351,0.13225504746815364,-0.008643588960065646
0.13336743252802238,0.12458165117396025,0.1169165418106867,0.10041969035337513,0.0803605205950613,-0.06793731179782762,-0.06793473668359233,-0.0679394602775573,0.1413716673851013,0.13727660778573758,0.005358835110804455
0.13814357509116174,0.13412163727146317,0.1252193350289133,0.1174234254473707,0.10079701063594039,-0.06793777542248489,-0.06793089278534155,-0.0679394602775573,0.1413716673851013,0.13816028873323252,0.004196822773336661
0.13942175559548445,0.13924041567509135,0.13504886300132263,0.12595566127391222,0.11797039958693974,-0.06793699898962414,-0.06792839569562899,-0.0679394602775573,0.1413716673851013,0.13668038701681942,0.0061255851701566
0.13500761485082474,0.13796775330289487,0.13801195274469238,0.13407370609903818,0.12523222582999932,-0.06794273245879699,-0.067949471205344,0.0551487579941749,0.1256637126207351,0.13190057723313128,-0.008139211754825737
0.13081560075861368,0.1340647197819748,0.13717139006443663,0.1373802297607691,0.13360533776626182,0.05514663226857969,-0.06795083575507899,0.0551487579941749,0.1256637126207351,0.1297154022336478,-0.005285806611981275
0.1275729707066174,0.12895404664014715,0.13249277821179467,0.13592492828766356,0.13645681663421508,0.05514455674995825,0.05513061607116619,0.0551487579941749,0.1256637126207351,0.1336713960170584,-0.010444964679555913
0.1311191096839864,0.1253555723703908,0.12708192737365553,0.13100863593208073,0.13482593780346316,0.055143750707809434,0.05512546709441821,0.0551487579941749,0.1256637126207351,0.1352077338253305,-0.012447798026455514
0.13485827895034208,0.1308155265717949,0.12509928849996546,0.12687878844617895,0.13085825080101457,0.05514807225299029,0.05514113636438959,0.0551487579941749,0.1413716673851013,0.14267870835083027,-0.0017046427707685663
0.14019426178450003,0.13270003614165793,0.12899363062812658,0.1236553211779231,0.1258099625658167,0.055143882314722364,0.05512948393482161,0.0551487579941749,0.1413716673851013,0.15066484230769817,-0.012120002795450502
0.14939864368470682,0.13909432904057042,0.1317715385712944,0.12825775942963832,0.12311066002715423,0.05514627305126472,0.055134408562865264,0.0551487579941749,0.1570796370506286,0.161816004435275,-0.006177075743590638
0.161129560953784,0.14880233779888988,0.13859096317713485,0.13137260110083485,0.12796248251784276,0.05514741083353029,0.055141137051699506,0.0551487579941749,0.1727875918149948,0.175355315891429,-0.003348774391428694
0.1716004062517352,0.157867685535845,0.14604882541991104,0.13640865355724988,0.12975729465231473,0.05514138889964469,0.055119316436123646,-0.0094029530882835,0.1727875918149948,0.18683328229917562,-0.018318081066579617
0.1842787724995294,0.16938128633991537,0.1559943844393447,0.14456409335659978,0.135309630434358,-0.009407966418484532,0.05512227575302197,-0.0094029530882835,0.1884955614805221,0.19805110239670523,-0.012462073773758603
0.1971503661199213,0.1834962870053547,0.16872072825202772,0.15547082828042624,0.14417653034410025,-0.009404720855715767,-0.0094147059797018,-0.0094029530882835,0.2042035162448883,0.20757292806337443,-0.004394264277581689
0.20442239842133594,0.19441341377134075,0.18118577071902445,0.16688937322292133,0.15411510725096528,-0.009409136434810225,-0.009428294729781466,-0.0094029530882835,0.2042035162448883,0.21598913944658876,-0.015370246659356546
0.21470916525225522,0.2033104382938034,0.19347469182544427,0.18044170793586248,0.16633853548390662,-0.009405465299579098,-0.009418714208794698,-0.0094029530882835,0.2199114859104156,0.22469982756408075,-0.0062446659726550224
0.22511117985100576,0.21506652472107038,0.20361212615824661,0.19371382371640058,0.18061874487525495,-0.009402145695927563,-0.009402387118536073,-0.0094029530882835,0.235619455575943,0.23408054423692926,0.002006935684755934
0.2326522345172804,0.22387033858475397,0.21401898068915903,0.2027817837769103,0.19309908218421365,-0.009405756639363385,-0.009412834252896006,-0.0094029530882835,0.235619455575943,0.2409630986196297,-0.00696872465083459
0.24147734557219966,0.23309898733224607,0.22424749869180854,0.21431794146215144,0.20300312169493087,-0.009401943668250042,-0.009401908210066753,-0.0094029530882835,0.2513274252414703,0.2494034437671713,0.0025090723579205276
0.2483782987012171,0.2405867469770427,0.2323471185899755,0.22365151736869146,0.21387669813597443,-0.009404965411969031,-0.009409615698297727,-0.0094029530882835,0.2513274252414703,0.25516296779355413,-0.005001912197518388
0.2563069365559075,0.24937212727192395,0.24142576716645148,0.23301218384209357,0.22414391037000025,-0.009400707464552736,-0.009396403905917521,-0.0094029530882835,0.2670353651046753,0.26275514645135994,0.0055817800246427685
0.26265944232838345,0.2562237930621058,0.2493019349452972,0.2413701278209023,0.23297099016086598,-0.009403140960166582,-0.009401423732554927,-0.0611617043614387,0.2670353651046753,0.2673934539186562,-0.0004669770502266357
0.26699987036304396,0.26231751433122374,0.2559351267084591,0.249073117773035,0.2412007184639383,-0.061162476996770826,-0.009406086661968408,-0.0611617043614387,0.2670353651046753,0.2685080286303803,-0.0019204667760639449
0.26890264213818793,0.26734269310670605,0.2626069360274497,0.25616454252571136,0.24924297023991207,-0.061160929695524495,-0.06115952355097044,-0.0611617043614387,0.2670353651046753,0.2655588312354231,0.0019255090238463612
0.2635430198498298,0.2671513948804157,0.26586423582257734,0.2614350084944692,0.2552968841392296,-0.0611656616338949,-0.06117601696890973,-0.0611617043614387,0.2513274252414703,0.2588700919630566,-0.009836175249521573
0.2589799270603299,0.26363843966793343,0.267231951218824,0.26592809030048536,0.26148228428649706,-0.061161488741108924,-0.06116483957167504,-0.0611617043614387,0.2513274252414703,0.2509164471488804,0.0005359440497347268
0.2500459928160342,0.25822371550690904,0.2630000229320408,0.26672589870345526,0.26555342583222613,-0.061163413181225375,-0.0611680036953129,-0.0611617043614387,0.235619455575943,0.23887651161158976,-0.004247424221416357
0.2377916349666981,0.24910350105217233,0.25742803565441913,0.26236931336916336,0.26625894279229295,-0.061163834126743886,-0.0611715330110837,-0.0611617043614387,0.2199114859104156,0.22397087531815343,-0.005293719001222386
